"filename", "language", "JSON", "TypeScript", "JSON with Comments", "HTML", "JavaScript", "vue", "Less", "TypeScript JSX", "CSS", "Properties", "Markdown", "XML", "comment", "blank", "total"
"d:\project\vueViteAdmin\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\project\vueViteAdmin\.vite\deps\@ant-design_icons-vue.js", "JavaScript", 0, 0, 0, 0, 26452, 0, 0, 0, 0, 0, 0, 0, 1477, 1477, 29406
"d:\project\vueViteAdmin\.vite\deps\_metadata.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"d:\project\vueViteAdmin\.vite\deps\ant-design-vue.js", "JavaScript", 0, 0, 0, 0, 60019, 0, 0, 0, 0, 0, 0, 0, 1669, 875, 62563
"d:\project\vueViteAdmin\.vite\deps\chunk-3IRRY6CR.js", "JavaScript", 0, 0, 0, 0, 9296, 0, 0, 0, 0, 0, 0, 0, 247, 8, 9551
"d:\project\vueViteAdmin\.vite\deps\chunk-L3N4JKNV.js", "JavaScript", 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 6, 6, 162
"d:\project\vueViteAdmin\.vite\deps\chunk-LFC2Z7BC.js", "JavaScript", 0, 0, 0, 0, 3367, 0, 0, 0, 0, 0, 0, 0, 117, 117, 3601
"d:\project\vueViteAdmin\.vite\deps\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\project\vueViteAdmin\.vite\deps\pinia.js", "JavaScript", 0, 0, 0, 0, 1486, 0, 0, 0, 0, 0, 0, 0, 41, 3, 1530
"d:\project\vueViteAdmin\.vite\deps\vue-router.js", "JavaScript", 0, 0, 0, 0, 2550, 0, 0, 0, 0, 0, 0, 0, 98, 5, 2653
"d:\project\vueViteAdmin\.vite\deps\vue.js", "JavaScript", 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 1, 1, 298
"d:\project\vueViteAdmin\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 20, 41
"d:\project\vueViteAdmin\components.d.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 45
"d:\project\vueViteAdmin\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\project\vueViteAdmin\package-lock.json", "JSON", 6729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6730
"d:\project\vueViteAdmin\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\project\vueViteAdmin\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\project\vueViteAdmin\src\App.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\project\vueViteAdmin\src\components\menu\index.vue", "vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 4, 42
"d:\project\vueViteAdmin\src\components\pageTransition\index.vue", "vue", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 6, 47
"d:\project\vueViteAdmin\src\components\sider\index.vue", "vue", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 2, 7, 95
"d:\project\vueViteAdmin\src\components\sider\type.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\project\vueViteAdmin\src\components\vTable.vue", "vue", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 4, 79
"d:\project\vueViteAdmin\src\layout\headertView.vue", "vue", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 3, 7, 112
"d:\project\vueViteAdmin\src\layout\homeView.vue", "vue", 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 0, 0, 8, 10, 307
"d:\project\vueViteAdmin\src\layout\type.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\project\vueViteAdmin\src\main.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 28
"d:\project\vueViteAdmin\src\router\index.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 13, 167
"d:\project\vueViteAdmin\src\router\router-guards.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\project\vueViteAdmin\src\setting\globalSetting.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6
"d:\project\vueViteAdmin\src\store\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6
"d:\project\vueViteAdmin\src\store\modules\globalSetting.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\project\vueViteAdmin\src\store\modules\tabs.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
